project_name,project_domain,language,resource_url,resource_type,target_issue_list_file,target_issue_name_pattern
pdfbox,pdf,Java,https://github.com/apache/pdfbox,public_git,issuelist/pdfbox.csv,PDFBOX-[0-9]+
activemq,message broker,Java,https://github.com/apache/activemq,public_git,,
amarok,audio player,C++,https://github.com/KDE/amarok,public_git,,
aurora,cluster management,Java,https://github.com/apache/aurora,public_git,,
avro,data serialization,Java,https://github.com/apache/avro,public_git,,
camel,integration framework,Java,https://github.com/apache/camel,public_git,,
cassandra,database,Java,https://github.com/apache/cassandra,public_git,,
cxf,services framework,Java,https://github.com/apache/cxf,public_git,,
derby,database,Java,https://github.com/apache/derby,public_git,,
flink,stream processing framework,Java,https://github.com/apache/flink,public_git,,
flume,log processing,Java,https://github.com/apache/flume,public_git,,
gedit,editor,C,https://github.com/GNOME/gedit,public_git,,
geronimo,server,C,https://github.com/apache/geronimo,public_git,,
gimp,image processing,C,https://github.com/GNOME/gimp,public_git,,
gnome-atk,accessibility,C,https://github.com/GNOME/atk,public_git,,
hadoop,distributed computing,Java,https://github.com/apache/hadoop,public_git,,
hibernate-orm,object/relational mapping,Java,https://github.com/hibernate/hibernate-orm,public_git,,
hive,distributed storage,Java,https://github.com/apache/hive,public_git,,
jdt-core,development tool,Java,https://github.com/eclipse/eclipse.jdt.core,public_git,,
dolphin,file manager,C++,https://github.com/KDE/dolphin,public_git,,
log4j,log,Java,https://github.com/apache/log4j,public_git,,
mahout,machine learning,Java,https://github.com/apache/mahout,public_git,,
nant,build tool,C#,https://github.com/nant/nant,public_git,,
nutch,web crawler,Java,https://github.com/apache/nutch,public_git,,
ode,orchestration,Java,https://github.com/apache/ode,public_git,,
oozie,workflow engine,Java,https://github.com/apache/oozie,public_git,,
openjpa,java persistence api,Java,https://github.com/apache/openjpa,public_git,,
pig,dataflow programming environment,Java,https://github.com/apache/pig,public_git,,
spring-framework,web framework,Java,https://github.com/spring-projects/spring-framework,public_git,,
storm,distributed realtime computation,Java,https://github.com/apache/storm,public_git,,
tajo,data warehouse,Java,https://github.com/apache/tajo,public_git,,
thrift,rpc,Java,https://github.com/apache/thrift,public_git,,
tika,content analysis,Java,https://github.com/apache/tika,public_git,,
tomcat,java servlet container,Java,https://github.com/apache/tomcat,public_git,,
wicket,web framework,Java,https://github.com/apache/wicket,public_git,,
wireshark,network traffic analyzer,C,https://github.com/wireshark/wireshark,public_git,,
xerces2-j,xml parser,Java,https://github.com/apache/xerces2-j,public_git,,
zookeeper,distributed coordination,Java,https://github.com/apache/zookeeper,public_git,,
